close,date,high,id,low,month,open,volume,year
532.17,2012-12-31,506.5,273,509,12,510.53,23553255,2012
509.59,2012-12-28,506.5,274,508.12,12,510.29,12652749,2012
515.06,2012-12-27,506.5,275,504.66,12,513.54,16254240,2012
513,2012-12-26,506.5,276,511.12,12,519,10801290,2012
520.17,2012-12-24,506.5,277,518.71,12,520.35,6276711,2012
519.33,2012-12-21,506.5,278,510.24,12,512.47,21304222,2012
521.73,2012-12-20,506.5,279,518.88,12,530,17203114,2012
526.31,2012-12-19,506.5,280,525.5,12,531.47,16048632,2012
533.9,2012-12-18,506.5,281,520.25,12,525,22345289,2012
518.83,2012-12-17,506.5,282,501.23,12,508.93,27105146,2012
509.79,2012-12-14,506.5,283,505.58,12,514.75,36056357,2012
529.69,2012-12-13,506.5,284,525.8,12,531.15,22330661,2012
539,2012-12-12,506.5,285,536.27,12,547.77,17397590,2012
541.39,2012-12-11,506.5,286,537.37,12,539.77,21155129,2012
529.82,2012-12-10,506.5,287,521.58,12,525,22517225,2012
533.25,2012-12-07,506.5,288,530,12,553.4,28134542,2012
547.24,2012-12-06,506.5,289,518.63,12,528.94,42043113,2012
538.79,2012-12-05,506.5,290,538.77,12,568.91,37308479,2012
575.85,2012-12-04,506.5,291,572.13,12,581.8,19926056,2012
586.19,2012-12-03,506.5,292,585.5,12,593.65,13009871,2012
585.28,2012-11-30,506.5,293,582.68,11,586.79,13974998,2012
589.36,2012-11-29,506.5,294,585.25,11,590.22,18382075,2012
582.94,2012-11-28,506.5,295,572.26,11,577.27,18609283,2012
584.78,2012-11-27,506.5,296,580.1,11,589.55,19046922,2012
589.53,2012-11-26,506.5,297,573.71,11,575.9,22520633,2012
571.5,2012-11-23,506.5,298,562.6,11,567.17,9743797,2012
561.7,2012-11-21,506.5,299,556.6,11,564.25,13329537,2012
560.91,2012-11-20,506.5,300,554.58,11,571.91,22955408,2012
565.73,2012-11-19,506.5,301,539.88,11,540.71,29398995,2012
